FoldablePackagePolicy,2021121601,,
520,com.whitedot.bfg,displayCompat,b
521,com.acoin.ballz.bricks.breaker,displayCompat,b
522,com.ForgeGames.SpecialForcesGroup2,displayCompat,b
523,com.bhvr.deadbydaylight,displayCompat,b
524,com.snapchat.android,displayCompat,b
525,org.thoughtcrime.securesms,displayCompat,b
526,com.nexters.herowars,displayCompat,b
527,ru.galya.drawjoust,displayCompat,b
528,pl.lukok.draughts,displayCompat,b
529,com.keplerians.icescream3,displayCompat,b
530,com.titan.cd.gb,displayCompat,b
531,com.ansangha.drdriving,displayCompat,b
532,com.YovoGames.dentist,displayCompat,b
533,videodownloader.fbvideodownloader.facebookvideodownloader.videodownloaderforfacebook,displayCompat,b
534,com.topwar.gp,displayCompat,b
535,com.critical.strike2,displayCompat,b
536,com.gameberry.ludo.star2,displayCompat,b
537,com.rubygames.assassin,displayCompat,b
538,com.melesta.coffeeshop,displayCompat,b
539,kr.go.hf.hfappandroid,displayCompat,b
540,com.redsahara.terahero,displayCompat,b
541,com.zlongame.kr.langrisser,displayCompat,b
542,com.nexon.fo4m,displayCompat,b
543,com.tgc.sky.android,displayCompat,b
544,com.alibaba.aliexpresshd,displayCompat,b
545,com.highbrow.games.SamTactics,displayCompat,b
546,com.melesta.toydefense2,displayCompat,b
547,com.westbund.heros.en,displayCompat,b
548,kr.aos.com.aprogen.hng.fortressm,displayCompat,b
549,com.banjihagames.seoul2033_backer,displayCompat,b
550,com.markmount.wadiz,displayCompat,b
551,com.alibaba.aliexpresshd,displayCompat,b
552,com.target.ui,displayCompat,b
553,com.wisedu.cpdaily,displayCompat,b
554,com.sgcc.wsgw.cn,displayCompat,b
555,kr.go.kcs.mobile.pubservice,displayCompat,b
556,com.victoriassecret.pinknation,displayCompat,b
557,jp.goodsmile.grandsummonersglobal_android,displayCompat,b
558,com.autotrader.android,displayCompat,b
559,com.hsn.android,displayCompat,b
560,com.mtvn.mtvPrimeAndroid,displayCompat,b
561,com.peoplefun.blockscapes,displayCompat,b
562,com.mtvn.vh1android,displayCompat,b
563,tjcomm.zillersong.mobile.activity,displayCompat,b
564,com.game.sortit3d,displayCompat,b
565,com.Jstory.SevenJstory,displayCompat,b
566,kr.go.nema.disasteralert_new,displayCompat,b
567,net.daum.realestate,displayCompat,b
568,com.westbund.heros.en,displayCompat,b
569,com.kbsec.mts.iplustarngm2,displayCompat,b
570,com.cebbank.mobile.cemb,displayCompat,b
571,com.randomlogicgames.solitaireinfinite,displayCompat,b
572,club.fromfactory,displayCompat,b
573,com.bigcake.android.mergepuzzle,displayCompat,b
574,com.gamehouse.deliciousdinercooking,displayCompat,b
575,com.cookingcity.chef.kitchen.craze.fever,displayCompat,b
576,jpark.AOS5,displayCompat,b
577,id.drakor.plus,displayCompat,b
578,com.wordgame.words.connect,displayCompat,b
579,com.ua.building.Lokicraft,displayCompat,b
580,game.puzzle.blockpuzzle,displayCompat,b
581,com0.Company.ProductName1,displayCompat,b
582,classic.brick.games.tetris,displayCompat,b
583,com.wordgame.puzzle.block.crush.pic.en,displayCompat,b
584,com.cardgames.solitaire.fun.free.spider.classic,displayCompat,b
585,com.dogbytegames.offtheroad,displayCompat,b
586,com.me2zen.tripeaks,displayCompat,b
587,beatmaker.edm.musicgames.gunsounds,displayCompat,b
588,com.ryohei.haruki.Exit,displayCompat,b
589,com.babil.androidpanzer,displayCompat,b
590,com.dysugar.jewels.prince,displayCompat,b
591,com.mindmill.tangram.block.puzzle,displayCompat,b
592,com.fastfun.tetris,displayCompat,b
593,com.tohsoft.arashi.ninja.shadow,displayCompat,b
